PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Saunders, B				Saunders, Ben			Fetuses are not adult humans: a response to Miller on abortion	JOURNAL OF MEDICAL ETHICS			English	Editorial Material; Early Access						Abortion - Induced; Ethics; Fetus; Moral Status; Personhood		Miller has recently argued that fetuses have the same inherent value as non-disabled adults. However, we do not need to postulate some property possessed equally by all humans, including fetuses, in order to explain the equality of non-disabled adults. It would suffice if there were some property possessed by all non-disabled adults, but not by fetuses.	[Saunders, Ben] Univ Southampton, Polit & IR, Southampton, England	University of Southampton	Saunders, B (corresponding author), Univ Southampton, Polit & IR, Southampton, England.	b.m.saunders@soton.ac.uk		Saunders, Ben/0000-0002-5147-6397					7	0	0	0	0	BMJ PUBLISHING GROUP	LONDON	BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND	0306-6800	1473-4257		J MED ETHICS	J. Med. Ethics	2024 FEB 23	2024										10.1136/jme-2024-109854	http://dx.doi.org/10.1136/jme-2024-109854		FEB 2024	2	Ethics; Medical Ethics; Social Issues; Social Sciences, Biomedical	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Social Sciences - Other Topics; Medical Ethics; Social Issues; Biomedical Social Sciences	JS7M6	38395622				2024-03-26	WOS:001175218400001
J	Messiou, K; de los Reyes, J; Potnis, C; Dong, P; Rwang, VK				Messiou, Kyriaki; de los Reyes, Jay; Potnis, Chinmaya; Dong, Ping; Rwang, Vivienne Kachollom			Student voice for promoting inclusion in primary schools	INTERNATIONAL JOURNAL OF INCLUSIVE EDUCATION			English	Article; Early Access						Student voice; schools; inclusive education; dialogue; participatory research; SDG 4: Quality education; SDG 10: Reduced inequalities; SDG 17: Partnerships for the goals	EDUCATION; POWER	This paper reports on the findings of a study that involved collaborative action research with primary schools (5-11-year-olds) in one city in the South of England. The study focused on exploring how inclusion in schools can be promoted through an engagement with student voice. Data analysed involved detailed lesson observations, fieldnotes from meetings between teachers and children, interviews with teachers and children and notes from network meetings. The findings of the study suggest that inclusion can be promoted in schools when (1) a dynamic process of making students heard is employed by: using participatory student voice activities; valuing what students say through a process of dialogue; and moving into actions; and (2) when adult mindsets are open to such ideas and make these mindsets explicit through specific behaviours. The paper concludes by arguing that primary school children are not only able to be engaged in such processes, but more importantly, can throw a different light to collaborative efforts to become more inclusive in schools.	[Messiou, Kyriaki; de los Reyes, Jay; Potnis, Chinmaya; Dong, Ping; Rwang, Vivienne Kachollom] Univ Southampton, Southampton Educ Sch, Southampton, England	University of Southampton	Messiou, K (corresponding author), Univ Southampton, Southampton Educ Sch, Southampton, England.	k.messiou@soton.ac.uk		Messiou, Kyriaki/0000-0003-3412-3108; Dong, Ping/0000-0003-1387-6274; Potnis, Chinmaya/0009-0007-4806-4088; de los Reyes, Elizer Jay/0000-0002-3609-127X	UKRI10.13039/100014013	UKRI10.13039/100014013	We would like to thank all children and teachers who took part in this study, as well as the headteachers who supported the work in their schools.		50	0	0	0	0	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1360-3116	1464-5173		INT J INCLUSIVE EDUC	Int. J. Incl. Educ.	2024 FEB 20	2024										10.1080/13603116.2024.2317729	http://dx.doi.org/10.1080/13603116.2024.2317729		FEB 2024	15	Education & Educational Research	Social Science Citation Index (SSCI)	Education & Educational Research	JA7K3		hybrid			2024-03-26	WOS:001170495400001
J	Pensiero, N; Brede, M				Pensiero, Nicola; Brede, Markus			An agent-based model of school tracking, accountability, and segregation	JOURNAL OF SIMULATION			English	Article; Early Access						Agent-based model; school segregation; school choice; school tracking; school accountability	ACHIEVEMENT INEQUALITY; EDUCATIONAL-INEQUALITY; STUDENT-ACHIEVEMENT; SECONDARY-SCHOOLS; PERFORMANCE; ENGLAND; CHOICE; POLICY; INDEX; TIMSS	Extant research on the effect of education system characteristics on school socio-economic segregation does not consider education as a complex system. This paper's contribution lies in using agent-based modelling to simulate the effect of the interaction between families' strategies for school selection and two education system characteristics: tracking - a system where students of different academic abilities are separated in different schools - and school accountability - the public availability of information on school quality. The model shows that school tracking and accountability tend to at the same time attenuate and increase school socio-economic segregation, but overall both policies tend to exacerbate segregation by eliciting competition for the best schools. The policy implications are: (i) tracking has a stronger exacerbating effect on segregation than accountability, (ii) the two polices interact to create compounding effects and (iii) by reducing residential segregation between families the segregating effect on schools of the two policies diminishes dramatically.	[Pensiero, Nicola] Southampton Univ, Sch Educ, Univ Rd, Southampton SO17 1BJ, England; [Brede, Markus] Southampton Univ, Sch Elect & Comp Sci, Southampton, England	University of Southampton; University of Southampton	Pensiero, N (corresponding author), Southampton Univ, Sch Educ, Univ Rd, Southampton SO17 1BJ, England.	n.pensiero@soton.ac.uk							73	0	0	0	0	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	1747-7778	1747-7786		J SIMUL	J. Simul.	2024 MAR 10	2024										10.1080/17477778.2024.2326138	http://dx.doi.org/10.1080/17477778.2024.2326138		MAR 2024	15	Computer Science, Interdisciplinary Applications; Operations Research & Management Science	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Operations Research & Management Science	LN5N2		hybrid			2024-03-26	WOS:001187496600001
J	Jones, EK; Orchard, V				Jones, Eleanor K.; Orchard, Vivienne			Neurodiversity and disability: what is at stake?	MEDICAL HUMANITIES			English	Article; Early Access						disability; sociology; Politics; Neurology; Medical humanities	AUTISM	Neurodiversity has come hugely to the fore in recent years in a variety of contexts, and is now subject to academic debate, activist discussion, and increasingly embedded in a range of institutional and corporate settings in the Global North, from workplaces to early years education, from psychotherapy to mainstream political discourses. The term has gained traction in Medical Humanities, as well as debate within bioethics, philosophy of psychology, and of law. Institutionally, it is now relied on in therapeutic practice, autism service provision, as well as in higher education, in particular. In this conceptual article we examine what is at stake in these usages and the implications in need of scrutiny. We resituate neurodiversity in relation to questions of disability by examining the deployment of neurology as the basis for identity, rights and benefits. The emergence of the term and the understandings to which it gives rise, we argue, leave out urgent questions of what is at stake for disabled people in a political climate of increasing harshness and ableism.	[Jones, Eleanor K.; Orchard, Vivienne] Univ Southampton, Languages Cultures & Linguist, Southampton SO17 1BJ, England	University of Southampton	Jones, EK (corresponding author), Univ Southampton, Languages Cultures & Linguist, Southampton SO17 1BJ, England.	e.k.jones@soton.ac.uk		Orchard, Vivienne/0000-0002-2795-1901					82	0	0	0	0	BMJ PUBLISHING GROUP	LONDON	BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND	1468-215X	1473-4265		MED HUMANIT	Med. Humanit.	2024 FEB 15	2024										10.1136/medhum-2023-012808	http://dx.doi.org/10.1136/medhum-2023-012808		FEB 2024	10	Humanities, Multidisciplinary	Arts &amp; Humanities Citation Index (A&amp;HCI)	Arts & Humanities - Other Topics	ID4Y4	38360797				2024-03-26	WOS:001164387000001
J	Edwards, R; Twamley, K; Iqbal, H; Faircloth, C				Edwards, Rosalind; Twamley, K.; Iqbal, H.; Faircloth, C.			Family Life in the Time of COVID: International Perspectives	BRITISH JOURNAL OF SOCIOLOGY			English	Book Review; Early Access									[Edwards, Rosalind] Univ Southampton, Southampton, England	University of Southampton	Edwards, R (corresponding author), Univ Southampton, Southampton, England.	r.s.edwards@soton.ac.uk		Edwards, Rosalind/0000-0002-3512-9029					3	0	0	1	1	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0007-1315	1468-4446		BRIT J SOCIOL	Br. J. Sociol.	2024 FEB 15	2024										10.1111/1468-4446.13085	http://dx.doi.org/10.1111/1468-4446.13085		FEB 2024	3	Sociology	Social Science Citation Index (SSCI)	Sociology	HW8F9					2024-03-26	WOS:001162630100001
J	Zeimpekis, I; Rahman, T; Leung, OM; Tyson, J; Ebert, M; Boden, SA; De Leon, CP; Morgan, KA				Zeimpekis, Ioannis; Rahman, Tasmiat; Leung, Oi Man; Tyson, Jack; Ebert, Martin; Boden, Stuart A.; De Leon, Carlos Ponce; Morgan, Katrina A.			Scalable Large-Area 2D-MoS<sub>2</sub>/Silicon-Nanowire Heterostructures for Enhancing Energy Storage Applications	ACS APPLIED ENERGY MATERIALS			English	Article; Early Access						2D materials; energy storage; MoS2; nanowires; scalable; TMD	MOS2 THIN-FILMS; MONOLAYER MOS2; NANOWIRES; GROWTH; SCALE	Two-dimensional (2D) transition-metal dichalcogenides have shown great potential for energy storage applications owing to their interlayer spacing, large surface area-to-volume ratio, superior electrical properties, and chemical compatibility. Further, increasing the surface area of such materials can lead to enhanced electrical, chemical, and optical response for energy storage and generation applications. Vertical silicon nanowires (SiNWs), also known as black-Si, are an ideal substrate for 2D material growth to produce high surface-area heterostructures, owing to their ultrahigh aspect ratio. Achieving this using an industrially scalable method paves the way for next-generation energy storage devices, enabling them to enter commercialization. This work demonstrates large surface area, commercially scalable, hybrid MoS2/SiNW heterostructures, as confirmed by Raman spectroscopy, with high tunability of the MoS2 layers down to the monolayer scale and conformal MoS2 growth, parallel to the silicon nanowires, as verified by transmission electron microscopy (TEM). This has been achieved using a two-step atomic layer deposition (ALD) process, allowing MoS2 to be grown directly onto the silicon nanowires without any damage to the substrate. The ALD cycle number accurately defines the layer number from monolayer to bulk. Introducing an ALD alumina (Al2O3) interface at the MoS2/SiNW boundary results in enhanced MoS2 quality and uniformity, demonstrated by an order of magnitude reduction in the B/A exciton photoluminescence (PL) intensity ratio to 0.3 and a reduction of the corresponding layer number. This high-quality layered growth on alumina can be utilized in applications such as for interfacial layers in high-capacity batteries or for photocathodes for water splitting. The alumina-free 100 ALD cycle heterostructures demonstrated no diminishing quality effects, lending themselves well to applications that require direct electrical contact with silicon and benefit from more layers, such as electrodes for high-capacity ion batteries.	[Zeimpekis, Ioannis; Rahman, Tasmiat; Tyson, Jack; Ebert, Martin; Boden, Stuart A.; Morgan, Katrina A.] Univ Southampton, Elect & Comp Sci, Southampton SO17 1BJ, Hampshire, England; [Leung, Oi Man; De Leon, Carlos Ponce] Univ Southampton, Fac Engn & Phys Sci, Mech Engn Dept, Southampton SO17 1BJ, Hampshire, England	University of Southampton; University of Southampton	Morgan, KA (corresponding author), Univ Southampton, Elect & Comp Sci, Southampton SO17 1BJ, Hampshire, England.	kam2g11@soton.ac.uk			Engineering and Physical Sciences Research Council (EPSRC) [EP/X016730/1, EP/M015130/1, EP/W022931/1A]; Lloyd's Register Foundation International Consortium of Nanotechnologies [G0086]; Zepler Institute Stimulus Fund at the University of Southampton; HEFCE's Higher Education Innovation Fund (HEIF)	Engineering and Physical Sciences Research Council (EPSRC)(UK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC)); Lloyd's Register Foundation International Consortium of Nanotechnologies; Zepler Institute Stimulus Fund at the University of Southampton; HEFCE's Higher Education Innovation Fund (HEIF)	The work in this paper is supported by the Engineering and Physical Sciences Research Council (EPSRC) in part through Grant EP/X016730/1, Smart Cloth & horbar;a wearable system powered entirely by body heat, Grant EP/M015130/1, Manufacturing and Application of Next Generation Chalcogenides, and Grant EP/W022931/1A & horbar; Photonic-Electronic nonvon Neumann Processor Core for Highly Efficient Computing (APT-NuCOM). O.M.L. acknowledges funding from the Lloyd's Register Foundation International Consortium of Nanotechnologies [G0086]. Finally, this work was supported by the Zepler Institute Stimulus Fund at the University of Southampton, which is supported by HEFCE's Higher Education Innovation Fund (HEIF), awarded to the University to help foster collaborations with industry and other users of research.		60	0	0	0	0	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036 USA	2574-0962			ACS APPL ENERG MATER	ACS Appl. Energ. Mater.	2024 MAR 7	2024										10.1021/acsaem.3c03055	http://dx.doi.org/10.1021/acsaem.3c03055		MAR 2024	10	Chemistry, Physical; Energy & Fuels; Materials Science, Multidisciplinary	Science Citation Index Expanded (SCI-EXPANDED)	Chemistry; Energy & Fuels; Materials Science	KP6M7		hybrid			2024-03-26	WOS:001181210200001
J	Fathabadi, AS; Snook, C; Dghaym, D; Hoang, TS; Alotaibi, F; Butler, M				Fathabadi, Asieh Salehi; Snook, Colin; Dghaym, Dana; Hoang, Thai Son; Alotaibi, Fahad; Butler, Michael			Systematic hierarchical analysis of requirements for critical systems	INNOVATIONS IN SYSTEMS AND SOFTWARE ENGINEERING			English	Article; Early Access						Safety; Security; Hazards; Vulnerabilities; Requirements; STPA; Event-B	SAFETY	Safety and security are key considerations in the design of critical systems. Requirements analysis methods rely on the expertise and experience of human intervention to make critical judgements. While human judgement is essential to an analysis method, it is also important to ensure a degree of formality so that we reason about safety and security at early stages of analysis and design, rather than detect problems later. In this paper, we present a hierarchical and incremental analysis process that aims to justify the design and flow-down of derived critical requirements arising from safety hazards and security vulnerabilities identified at the system level. The safety and security analysis at each level uses STPA-style action analysis to identify hazards and vulnerabilities. At each level, we verify that the design achieves the safety or security requirements by backing the analysis with formal modelling and proof using Event-B refinement. The formal model helps to identify hazards/vulnerabilities arising from the design and how they relate to the safety accidents/security losses being considered at this level. We then re-apply the same process to each component of the design in a hierarchical manner. Thus, we use hazard and vulnerability analysis, together with refinement-based formal modelling and verification, to drive the design, replacing the system level requirements with component requirements. In doing so, we decompose critical system-level requirements down to component-level requirements, transforming them from abstract system level requirements, towards concrete solutions that we can implement correctly so that the hazards/vulnerabilities are mitigated.	[Fathabadi, Asieh Salehi; Snook, Colin; Dghaym, Dana; Hoang, Thai Son; Alotaibi, Fahad; Butler, Michael] Univ Southampton, Elect & Comp Sci, Southampton SO171BJ, England	University of Southampton	Fathabadi, AS (corresponding author), Univ Southampton, Elect & Comp Sci, Southampton SO171BJ, England.	a.salehi-fathabadi@soton.ac.uk; cfs@soton.ac.uk; d.dghaym@soton.ac.uk; t.s.hoang@soton.ac.uk; f.a.alotaibi@soton.ac.uk; m.j.butler@soton.ac.uk			HiClass project, ATI Programme [113213]; Digital Security by Design (DSbD) Programme	HiClass project, ATI Programme; Digital Security by Design (DSbD) Programme	This work is supported by the following projects:<br /><br />center dot HiClass project (113213), which is part of the ATI Programme, a joint Government and industry investment to maintain and grow the UK's competitive position in civil aerospace design and manufacture. <br /><br />center dot HD-Sec project, which was funded by the Digital Security by Design (DSbD) Programme delivered by UKRI to support the DSbD ecosystem.		35	0	0	0	0	SPRINGER LONDON LTD	LONDON	236 GRAYS INN RD, 6TH FLOOR, LONDON WC1X 8HL, ENGLAND	1614-5046	1614-5054		INNOV SYST SOFTW ENG	Innov. Syst. Softw. Eng.	2024 MAR 12	2024										10.1007/s11334-024-00551-8	http://dx.doi.org/10.1007/s11334-024-00551-8		MAR 2024	25	Computer Science, Software Engineering	Emerging Sources Citation Index (ESCI)	Computer Science	KP2U6		hybrid, Green Submitted			2024-03-26	WOS:001181113200001
J	Gow, PC; Churchill, GM; Vitali, V; Bucio, TD; Gardes, FY; D'Souza, MP; Petropoulos, P; Gawith, CBE; Gates, JC				Gow, Paul C.; Churchill, Glenn M.; Vitali, Valerio; Bucio, Thalia Dominguez; Gardes, Frederic Y.; D'Souza, Matthew P.; Petropoulos, Periklis; Gawith, Corin B. E.; Gates, James C.			Mechanical dicing of optical quality facets and waveguides in a silicon nitride platform	ELECTRONICS LETTERS			English	Article						micromachining; optical fabrication; photonics; sawing machines; surface roughness; waveguides	ROUGHNESS	The authors report a ductile dicing process for manufacturing optical-quality facets in a multi-layered silicon nitride platform without the need for polishing. A surface roughness (Sa) of 1.5 nm was achieved. This technique was extended to fabricate ridge waveguides, and the results and characterization are reported. The authors report a ductile dicing process for manufacturing optical-quality facets in a multi-layered silicon nitride platform without the need for polishing. This technique was extended to fabricate ridge waveguides. image	[Gow, Paul C.; Churchill, Glenn M.; Vitali, Valerio; Bucio, Thalia Dominguez; Gardes, Frederic Y.; D'Souza, Matthew P.; Petropoulos, Periklis; Gawith, Corin B. E.; Gates, James C.] Univ Southampton, Optoelect Res Ctr, Southampton, Hampshire, England	University of Southampton	Gow, PC (corresponding author), Univ Southampton, Optoelect Res Ctr, Southampton, Hampshire, England.	p.gow@soton.ac.uk	; gardes, frederic/C-1619-2013; Gow, Paul/A-7512-2017	Dominguez Bucio, Thalia/0000-0002-3664-1403; gardes, frederic/0000-0003-1400-3272; Gates, James/0000-0001-8671-5987; Gow, Paul/0000-0002-3247-9082; D'Souza, Matthew/0000-0002-0165-3244	Innovate UK; Engineering and Physical Sciences Research Council [EP/M013294/1, EP/T001062/1, EP/W024772/1]; Royal Academy of Engineering Research Chair [RCSRF1718639];  [50414]	Innovate UK(UK Research & Innovation (UKRI)Innovate UK); Engineering and Physical Sciences Research Council(UK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC)); Royal Academy of Engineering Research Chair; 	The authors would like to acknowledge the following funding sources: Innovate UK (50414); Engineering and Physical Sciences Research Council (EP/M013294/1, EP/T001062/1, EP/W024772/1); Royal Academy of Engineering Research Chair (RCSRF1718639).		11	0	0	2	2	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0013-5194	1350-911X		ELECTRON LETT	Electron. Lett.	MAR	2024	60	5							e13138	10.1049/ell2.13138	http://dx.doi.org/10.1049/ell2.13138			3	Engineering, Electrical & Electronic	Science Citation Index Expanded (SCI-EXPANDED)	Engineering	KJ8V4		gold			2024-03-26	WOS:001179693300003
J	Curry, A				Curry, Anne			The Hundred Years War. Volume V. Triumph and Illusion	FRENCH HISTORY			English	Book Review; Early Access									[Curry, Anne] Univ Southampton, Southampton, England	University of Southampton	Curry, A (corresponding author), Univ Southampton, Southampton, England.	A.E.Curry@soton.ac.uk							0	0	0	0	0	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0269-1191	1477-4542		FR HIST	Fr. Hist.	2024 FEB 25	2024										10.1093/fh/crae005	http://dx.doi.org/10.1093/fh/crae005		FEB 2024	2	History	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	History	KA0Z8					2024-03-26	WOS:001177136800001
J	Da Silva, M				Da Silva, Michael			Public Health, Internal Borders, and the Ends of Federalism	CANADIAN JOURNAL OF LAW AND SOCIETY			English	Article; Early Access						COVID-19; constitutional law; constitutional theory; pandemics; intergovernmental relations; federalisme; droit constitutionnel; theorie constitutionnelle; frontieres; pandemies; relations intergouvernementales	COVID-19	Questions concerning border closures during pandemics often focus on international borders or rights-based considerations. Closures of internal borders in federal countries, such as Canada, raise independent concerns regarding who can close internal borders when. Those questions are not exhausted by rights-based considerations and cannot be resolved using brute empirical measures. They instead implicate the nature and ends of federalism. This text uses the case of internal border restrictions in Canada during COVID-19 to explore whether the kinds of closures that took place there can be justified on federalism grounds. It argues that the case for provinces being able to unilaterally enact interprovincial border closures in federal countries, as observed in Canada during COVID-19, do not withstand scrutiny. It attends to possible justifications for federalism to demonstrate that the best arguments for federalism do not support provincial control over borders that justify provinces possessing, let alone exercising, unilateral authority to close interprovincial borders to persons residing in other provinces. Les questions relatives a la fermeture des frontieres en cas de pandemie sont souvent centrees sur les frontieres internationales ou sur des considerations liees aux droits fondamentaux. La fermeture des frontieres interieures au sein des etats federaux, comme le Canada, souleve toutefois d'autres questionnements sur les enjeux de competences, notamment a savoir qui peut fermer les frontieres interieures et a quel moment. Ces questions ne se limitent pas aux considerations fondees sur les droits fondamentaux et ne peuvent etre resolues par des mesures empiriques brutes. Elles se rapportent plutot a des interrogations sur la nature et les objectifs du federalisme. Dans cette voie, ce texte utilise le cas des restrictions aux frontieres interieures du Canada pendant la COVID-19 pour se demander si ce type de fermeture peut etre justifie par le biais du federalisme. Cet article soutient que les arguments en faveur de la possibilite pour les provinces de decreter unilateralement des fermetures de frontieres interprovinciales dans les etats federaux, comme cela a ete observe au Canada pendant la COVID-19, ne resistent pas a un examen minutieux. En particulier, cet article examine les diverses justifications du federalisme pour demontrer que les meilleurs arguments en faveur de ce regime ne soutiennent pas un controle des frontieres par les provinces, tout comme ils recusent l'idee que les provinces se revendiquent et utilisent un pouvoir unilateral pour fermer les frontieres interprovinciales aux personnes residant dans les autres provinces.	[Da Silva, Michael] Univ Southampton, Sch Law, Southampton, England	University of Southampton	Da Silva, M (corresponding author), Univ Southampton, Sch Law, Southampton, England.	m.da-silva@soton.ac.uk		Da Silva, Michael/0000-0002-7021-9847					47	0	0	0	0	CAMBRIDGE UNIV PRESS	CAMBRIDGE	EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND	0829-3201	1911-0227		CAN J LAW SOC	Can. J. Law Soc.	2024 FEB 21	2024										10.1017/cls.2023.22	http://dx.doi.org/10.1017/cls.2023.22		FEB 2024	19	Law	Emerging Sources Citation Index (ESCI)	Government & Law	IF0N9					2024-03-26	WOS:001164796300001
