"title","type","genre","pages","year","publisher"
"Plenty","Non-fiction","Cookery",288,2010,"Chronicle Books"
"In a Sunburned Country","Non-fiction","Travel",335,2000,"Broadway Books"
"Mastering the Art of French Cooking","Fiction","Cooking",684,1961,"Alfred A. Knopf"
"The Catcher in the Rye","Fiction","Literature",234,1951,"Little, Brown and Company"
"A Time of Gifts","Non-fiction","Travel",321,1977,"John Murray"
"In Patagonia","Non-fiction","Travel",204,1977,"Jonathan Cape"
"Into the Wild","Non-fiction","Travel",224,1996,"Villard"
"The River Cottage Meat Book","Non-fiction","Cookery",544,2004,"Hodder & Stoughton"
"Jurassic Park","Fiction","Thriller",448,1990,"Alfred A. Knopf"
"Team of Rivals","Non-fiction","Biography",944,2005,"Simon & Schuster"
"The Lies of Locke Lamora","Fiction","Fantasy",499,2006,"Gollancz"
"Moby-Dick","Fiction","Literature",585,1851,"Richard Bentley"
"The Valleys of the Assassins","Non-fiction","Travel",296,1934,"Penguin Books"
"The Pillars of Hercules","Non-fiction","Travel",509,1995,"Putnam"
"A Cook's Tour","Non-fiction","Travel",288,2001,"Bloomsbury Publishing"
"1984","Fiction","Literature",328,1949,"Secker & Warburg"
"The Silence of the Lambs","Fiction","Thriller",352,1988,"St. Martin's Press"
"The Colossus of Maroussi","Non-fiction","Travel",250,1941,"Colt Press"
"Foundation","Fiction","Science Fiction",255,1951,"Gnome Press"
"The Firm","Fiction","Thriller",432,1991,"Doubleday"
"Snow Crash","Fiction","Science Fiction",438,1992,"Bantam Books"
"The Autobiography of Martin Luther King Jr.","Non-fiction","Biography",400,1998,"Warner Books"
"The Rise of Theodore Roosevelt","Non-fiction","Biography",780,1979,"Coward, McCann & Geoghegan"
"The Martian","Fiction","Science Fiction",369,2011,"Crown Publishing Group"
"The Road to Wigan Pier","Non-fiction","Travel",264,1937,"Victor Gollancz"
"The Hobbit","Fiction","Fantasy",310,1937,"George Allen & Unwin"
"The Bourne Identity","Fiction","Thriller",523,1980,"Richard Marek Publishers"
"Ottolenghi: The Cookbook","Non-fiction","Cookery",304,2008,"Ebury Press"
"To Kill a Mockingbird","Fiction","Literature",281,1960,"J. B. Lippincott & Co."
