Electronic version(s) of this work > DOI (Digital Object Identifier)-0,Additional source IDs-1,UUID-2,ID-3,Managing organisational unit-4,Title of the contribution in original language-5,Subtitle of the contribution in original language-6,Publication statuses and dates > E-pub ahead of print-7,Publication statuses and dates > Accepted/In press-8,Workflow > Step-9,Electronic version(s) of this work > Document version-10,Electronic version(s) of this work > Licence to document-11,Managing organisational unit-12,Open Access status-13,REF Open Access Compliance Status-14,REF2021 exception-15,Current publication status > Date-16,Journal > Journal-17,Event-18,Title of the host publication in original language-19,Type-20
10.1061/(ASCE)GT.1943-5606.0002904,Scopus: 85142228200,0d0c86fa-3d1e-4e13-a222-7ffcafa2fecd,115786990,200d3511-98a5-4468-af62-d48e2655d9b4,Reusing life-expired railway ballast,"laboratory testing, shape analysis, and petrographic evaluation",12/11/22,17/06/22,Validated,"Version of Record, Version of Record","CC BY, CC BY",200d3511-98a5-4468-af62-d48e2655d9b4,Open,REF OA Compliance NOT MET - Confirm exception applicability,,2023,Journal of Geotechnical and Geoenvironmental Engineering,,,Contribution to journal - Article
10.1108/JAEE-01-2022-0008,"ORCID: /0000-0002-1433-324X/work/140495998, Scopus: 85165980539",11da5e30-7274-426a-b4b0-ef5aa59d0371,137858408,4654c77d-0b69-4125-9347-30f9de0f56b4,The impact of board characteristics on corporate social responsibility disclosures,evidence from state-owned enterprises in Kenya,1/08/23,2/07/23,Validated,"Accepted manuscript, Version of Record",CC BY-NC,4654c77d-0b69-4125-9347-30f9de0f56b4,Open,REF OA Compliance MET,,2023,Journal of Accounting in Emerging Economies,,,Contribution to journal - Article
10.1080/00036811.2023.2256357,"Scopus: 85170360861, ORCID: /0000-0002-4838-7465/work/144190367",d2b2992a-7528-4f92-9c23-e30086e96f8f,144407616,b2627edb-8774-4c5d-b529-356f12d56c42,Modified inertial Tseng method for solving variational inclusion and fixed point problems on Hadamard manifolds,,11/09/23,2/09/23,Validated,"Accepted manuscript, Version of Record",UoS-AM,b2627edb-8774-4c5d-b529-356f12d56c42,Embargoed,REF OA Compliance MET,,2023,Applicable Analysis,,,Contribution to journal - Article
10.3846/mma.2023.17087,ORCID: /0000-0002-4838-7465/work/147380063,5cb32df2-f51e-4b93-9212-bd283f681805,155873235,a2476d18-5515-484c-b0b5-7be7b4f0cd2f,On split generalized equilibrium and fixed point problems of Bregman W-mappings with multiple output sets in reflexive Banach spaces,,,3/10/23,Validated,"Version of Record, Version of Record","CC BY, CC BY",a2476d18-5515-484c-b0b5-7be7b4f0cd2f,Open,REF OA Compliance MET,,2023,Mathematical Modelling and Analysis,,,Contribution to journal - Article
10.1126/sciadv.adi6838,"Scopus: 85175742531, PubMed: 37792942",e28cfcc4-9f8a-4bd5-81ed-bba9d465241b,147250644,8d642bd4-5589-4c5e-b319-e1691bc29b95,Human dispersals out of Africa via the Levant,,,29/08/23,Validated,"Accepted manuscript, Version of Record, Version of Record","CC BY-NC, CC BY-NC, CC BY-NC",8d642bd4-5589-4c5e-b319-e1691bc29b95,Open,REF OA Compliance MET,,2023,Science Advances,,,Contribution to journal - Article
10.1016/j.cgh.2022.07.038,Scopus: 85140621884,a5a00ee6-2351-457c-a70f-d88055520d18,155871348,d1afa049-fda1-4cdc-9ef6-132fb60b2913,UK-wide multicenter evaluation of second-line therapies in primary biliary cholangitis,,9/08/22,,Validated,"Version of Record, Version of Record","CC BY-NC-ND, CC BY-NC-ND",d1afa049-fda1-4cdc-9ef6-132fb60b2913,Open,,,2023,Clinical Gastroenterology and Hepatology,,,Contribution to journal - Article
10.1016/j.algal.2024.103454,Scopus: 85187347289,4eb1b0b2-6dc8-43bb-94a9-be32c567975d,184471653,aa0cdc05-cadb-4c45-ad97-c0b916ab27e2,Changes in velocity distribution produced by paddlewheels in algae raceway ponds,,6/03/24,29/02/24,Validated,Version of Record,,aa0cdc05-cadb-4c45-ad97-c0b916ab27e2,Closed,Indeterminate,,2024,Algal Research,,,Contribution to journal - Article
10.21105/astro.2305.17173,ORCID: /0000-0002-3073-1512/work/146889617,035efc27-3ab7-4151-8191-fac5a9b2891b,151722214,d07e4430-56c7-4e1b-a33b-5391d79ba24a,DES Y3 + KiDS-1000: consistent cosmology combining cosmic shear surveys,,26/05/23,,Validated,"Version of Record, Version of Record","CC BY, CC BY",d07e4430-56c7-4e1b-a33b-5391d79ba24a,Open,,,2023,The Open Journal of Astrophysics,,,Contribution to journal - Article
10.1101/2020.11.08.373209,,b0dd913c-2535-48c7-975d-bc2875edbf9a,118566809,97a89e0d-3b2e-48c2-912e-2295a03f0521,Micromechanical homogenisation of a hydrogel-filled electrospun scaffold for tissue-engineered epicardial patching of the infarcted heart,,,25/02/23,Validated,"Author’s original, Author’s original, Accepted manuscript",UoS-AM,97a89e0d-3b2e-48c2-912e-2295a03f0521,Open,REF OA Compliance NOT MET - Confirm exception applicability,,2023,Meccanica,,,Contribution to journal - Article
10.1164/rccm.202211-2107OC,"Scopus: 85164844622, ORCID: /0000-0001-6039-5612/work/142567379, ORCID: /0000-0003-2252-1248/work/142568721",5449e667-4258-4e37-a9b3-6bc7b867ac90,123405440,7f385200-73f5-466e-b128-be9ad4160a91,"Oropharyngeal microbiota clusters in children with asthma/wheeze associate with allergy, blood transcriptomic immune pathways and exacerbations risk",,10/05/23,9/05/23,Validated,"Accepted manuscript, Version of Record",UoS-AM,7f385200-73f5-466e-b128-be9ad4160a91,Embargoed,REF OA Compliance NOT MET - Confirm exception applicability,,2023,American Journal of Respiratory and Critical Care Medicine,,,Contribution to journal - Article
