"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","Affiliations","Authors with affiliations","Funding Details","Correspondence Address","Publisher","ISSN","ISBN","CODEN","Document Type","Open Access","Source","EID"
"Liu Z.; Ettabib M.A.; Bowden B.M.; Bartlett P.N.; Wilkinson J.S.; Zervas M.N.","Liu, Zhen (57220604023); Ettabib, Mohamed A. (36662229200); Bowden, Bethany M. (57225044665); Bartlett, Philip N. (15744910900); Wilkinson, James S. (7401890420); Zervas, Michalis N. (7006955232)","57220604023; 36662229200; 57225044665; 15744910900; 7401890420; 7006955232","Multiframe-based non-local means denoising for Raman spectra","2024","Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy","10.1016/j.saa.2024.123931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183956855&doi=10.1016%2fj.saa.2024.123931&partnerID=40&md5=9094a647dcea3aa950a76ef8f61c1aad","Zepler Institute for Photonics and Nanoelectronics, University of Southampton, Southampton, SO17 1BJ, United Kingdom; School of Chemistry, University of Southampton, Southampton, SO17 1BJ, United Kingdom","Liu Z., Zepler Institute for Photonics and Nanoelectronics, University of Southampton, Southampton, SO17 1BJ, United Kingdom; Ettabib M.A., Zepler Institute for Photonics and Nanoelectronics, University of Southampton, Southampton, SO17 1BJ, United Kingdom; Bowden B.M., School of Chemistry, University of Southampton, Southampton, SO17 1BJ, United Kingdom; Bartlett P.N., School of Chemistry, University of Southampton, Southampton, SO17 1BJ, United Kingdom; Wilkinson J.S., Zepler Institute for Photonics and Nanoelectronics, University of Southampton, Southampton, SO17 1BJ, United Kingdom; Zervas M.N., Zepler Institute for Photonics and Nanoelectronics, University of Southampton, Southampton, SO17 1BJ, United Kingdom","Defence Science and Technology Laboratory, Dstl, (DSTLX-1000128554); Engineering and Physical Sciences Research Council, EPSRC, (EP/R011230/1); China Scholarship Council, CSC, (201808430227)","Z. Liu; Zepler Institute for Photonics and Nanoelectronics, University of Southampton, Southampton, SO17 1BJ, United Kingdom; email: zhen.liu@soton.ac.uk","Elsevier B.V.","13861425","","SAMCA","Article","","Scopus","2-s2.0-85183956855"
"Filingeri D.; Blount H.; Ward J.","Filingeri, Davide (55413673600); Blount, Hannah (58095467200); Ward, Jade (58096218300)","55413673600; 58095467200; 58096218300","Thermal physiology is a (wo)man's world!","2024","Journal of Physiology","10.1113/JP286333","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186478720&doi=10.1113%2fJP286333&partnerID=40&md5=184900ffbe27c8e18daeccf690876d0c","THERMOSENSELAB, Skin Sensing Research Group, School of Health Sciences, The University of Southampton, Southampton, United Kingdom","Filingeri D., THERMOSENSELAB, Skin Sensing Research Group, School of Health Sciences, The University of Southampton, Southampton, United Kingdom; Blount H., THERMOSENSELAB, Skin Sensing Research Group, School of Health Sciences, The University of Southampton, Southampton, United Kingdom; Ward J., THERMOSENSELAB, Skin Sensing Research Group, School of Health Sciences, The University of Southampton, Southampton, United Kingdom","","D. Filingeri; THERMOSENSELAB, Skin Sensing Research Group, School of Health Sciences, The University of Southampton, Southampton, United Kingdom; email: d.filingeri@soton.ac.uk","John Wiley and Sons Inc","00223751","","JPHYA","Article","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85186478720"
"Festa O.; Gourvenec S.; Sobey A.","Festa, Oscar (57357121400); Gourvenec, Susan (6602734503); Sobey, Adam (6603456241)","57357121400; 6602734503; 6603456241","Comparative analysis of load reduction device stiffness curves for floating offshore wind moorings","2024","Ocean Engineering","10.1016/j.oceaneng.2024.117266","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186513419&doi=10.1016%2fj.oceaneng.2024.117266&partnerID=40&md5=39af6cf474596df24e5cc80210cf56b3","Faculty of Engineering and Physical Sciences, University of Southampton, Southampton, SO16 7QF, United Kingdom; Data-Centric Engineering, The Alan Turing Institute, London, NW1 2DB, United Kingdom","Festa O., Faculty of Engineering and Physical Sciences, University of Southampton, Southampton, SO16 7QF, United Kingdom; Gourvenec S., Faculty of Engineering and Physical Sciences, University of Southampton, Southampton, SO16 7QF, United Kingdom; Sobey A., Faculty of Engineering and Physical Sciences, University of Southampton, Southampton, SO16 7QF, United Kingdom, Data-Centric Engineering, The Alan Turing Institute, London, NW1 2DB, United Kingdom","Lloyd's Register Foundation, LRF; Royal Academy of Engineering, RAENG; University of Southampton","O. Festa; Faculty of Engineering and Physical Sciences, University of Southampton, Southampton, SO16 7QF, United Kingdom; email: ogf1n20@soton.ac.uk","Elsevier Ltd","00298018","","","Article","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85186513419"
"Chirol C.; Pontee N.; Gallop S.L.; Thompson C.E.L.; Kassem H.; Haigh I.D.","Chirol, C. (57189933520); Pontee, N. (6603187269); Gallop, S.L. (36716270400); Thompson, C.E.L. (55455493400); Kassem, H. (55851376900); Haigh, I.D. (15727647400)","57189933520; 6603187269; 36716270400; 55455493400; 55851376900; 15727647400","Creek systems in restored coastal wetlands: Morphological evolution and design implications","2024","Science of the Total Environment","10.1016/j.scitotenv.2024.171067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185843678&doi=10.1016%2fj.scitotenv.2024.171067&partnerID=40&md5=65d8b5e389c7d94fa102dffd31bf3675","School of Ocean and Earth Sciences, National Oceanography Centre Southampton, University of Southampton, Southampton, SO14 3ZH, United Kingdom; Université Paris-Saclay, INRAE, AgroParisTech, UMR ECOSYS, Palaiseau, 91120, France; Jacobs, Bristol, BS2 0ZX, United Kingdom; School of Science, University of Waikato, Tauranga, 3110, New Zealand; Environmental Research Institute, University of Waikato, Hamilton, 3240, New Zealand","Chirol C., School of Ocean and Earth Sciences, National Oceanography Centre Southampton, University of Southampton, Southampton, SO14 3ZH, United Kingdom, Université Paris-Saclay, INRAE, AgroParisTech, UMR ECOSYS, Palaiseau, 91120, France; Pontee N., School of Ocean and Earth Sciences, National Oceanography Centre Southampton, University of Southampton, Southampton, SO14 3ZH, United Kingdom, Jacobs, Bristol, BS2 0ZX, United Kingdom; Gallop S.L., School of Science, University of Waikato, Tauranga, 3110, New Zealand, Environmental Research Institute, University of Waikato, Hamilton, 3240, New Zealand; Thompson C.E.L., School of Ocean and Earth Sciences, National Oceanography Centre Southampton, University of Southampton, Southampton, SO14 3ZH, United Kingdom; Kassem H., School of Ocean and Earth Sciences, National Oceanography Centre Southampton, University of Southampton, Southampton, SO14 3ZH, United Kingdom; Haigh I.D., School of Ocean and Earth Sciences, National Oceanography Centre Southampton, University of Southampton, Southampton, SO14 3ZH, United Kingdom","Natural Environment Research Council, NERC","C. Chirol; Université Paris-Saclay, INRAE, AgroParisTech, UMR ECOSYS, Palaiseau, 91120, France; email: clementine.chirol@inrae.fr","Elsevier B.V.","00489697","","STEVA","Article","","Scopus","2-s2.0-85185843678"
"Stoodley P.; Toelke N.; Schwermer C.; de Beer D.","Stoodley, Paul (7003908836); Toelke, Nina (58608365000); Schwermer, Carsten (23393790600); de Beer, Dirk (26642920400)","7003908836; 58608365000; 23393790600; 26642920400","Bioenergetics of simultaneous oxygen and nitrate respiration and nitric oxide production in a Pseudomonas aeruginosa agar colony biofilm","2024","Biofilm","10.1016/j.bioflm.2024.100181","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185760566&doi=10.1016%2fj.bioflm.2024.100181&partnerID=40&md5=85efc768391af8d1a30f4365f0e61150","National Centre for Advanced Tribology at Southampton, (NCATS), Mechanical Engineering, University of Southampton, Southampton, SO17 1BJ, United Kingdom; Department of Microbial Infection and Immunity, Department of Orthopaedics, The Ohio State University, 716 Biomedical Research Tower (BRT), 460 W 12th Ave, Columbus, 43210, OH, United States; Max Planck Institute for Marine Microbiology (MPI), Microsensor Group and Molecular Ecology Group, Celsiusstrasse 1, Bremen, D-28359, Germany; Norwegian Institute for Water Research (NIVA), Gaustadalléen 21, Oslo, NO-0349, Norway","Stoodley P., National Centre for Advanced Tribology at Southampton, (NCATS), Mechanical Engineering, University of Southampton, Southampton, SO17 1BJ, United Kingdom, Department of Microbial Infection and Immunity, Department of Orthopaedics, The Ohio State University, 716 Biomedical Research Tower (BRT), 460 W 12th Ave, Columbus, 43210, OH, United States; Toelke N., Max Planck Institute for Marine Microbiology (MPI), Microsensor Group and Molecular Ecology Group, Celsiusstrasse 1, Bremen, D-28359, Germany; Schwermer C., Norwegian Institute for Water Research (NIVA), Gaustadalléen 21, Oslo, NO-0349, Norway; de Beer D., Max Planck Institute for Marine Microbiology (MPI), Microsensor Group and Molecular Ecology Group, Celsiusstrasse 1, Bremen, D-28359, Germany","","P. Stoodley; National Centre for Advanced Tribology at Southampton, (NCATS), Mechanical Engineering, University of Southampton, Southampton, SO17 1BJ, United Kingdom; email: P.stoodley@soton.ac.uk","Elsevier B.V.","25902075","","","Article","All Open Access; Gold Open Access","Scopus","2-s2.0-85185760566"
"Tong W.; Wei B.; Moshrefi-Torbati M.; Zhou X.; Yurchenko D.; Yang K.","Tong, Weihao (57337088600); Wei, Boyuan (58872894000); Moshrefi-Torbati, Mohamed (6506887393); Zhou, Xu (58872648100); Yurchenko, Daniil (57829197500); Yang, Kai (57207166088)","57337088600; 58872894000; 6506887393; 58872648100; 57829197500; 57207166088","Investigation of a monostable nonlinear vibration isolator with the inertia-elastic boundary","2024","Communications in Nonlinear Science and Numerical Simulation","10.1016/j.cnsns.2024.107887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184518362&doi=10.1016%2fj.cnsns.2024.107887&partnerID=40&md5=83885cee43585bdc64469f71c15ca132","School of Aerospace Engineering, Huazhong University of Science and Technology, Wuhan, 430074, China; Mechanical Engineering Department, University of Southampton, SO17 1BJ, United Kingdom; Space Star Technology Co., Ltd, Beijing, 100089, China; Institute of Sound and Vibration Research, University of Southampton, SO17 1BJ, United Kingdom","Tong W., School of Aerospace Engineering, Huazhong University of Science and Technology, Wuhan, 430074, China; Wei B., School of Aerospace Engineering, Huazhong University of Science and Technology, Wuhan, 430074, China; Moshrefi-Torbati M., Mechanical Engineering Department, University of Southampton, SO17 1BJ, United Kingdom; Zhou X., Space Star Technology Co., Ltd, Beijing, 100089, China; Yurchenko D., Institute of Sound and Vibration Research, University of Southampton, SO17 1BJ, United Kingdom; Yang K., School of Aerospace Engineering, Huazhong University of Science and Technology, Wuhan, 430074, China","Open Fund of Science and Technology on Thermal Energy and Power Laboratory, (TPL2019A01); Young Topnotch Talent Cultivation Program of Hubei Province; National Natural Science Foundation of China, NSFC, (11802097); State Key Laboratory of Robotics, (JJ2021-719-01)","K. Yang; School of Aerospace Engineering, Huazhong University of Science and Technology, Wuhan, 430074, China; email: kaiyang@hust.edu.cn","Elsevier B.V.","10075704","","","Article","","Scopus","2-s2.0-85184518362"
"Men J.; Liu H.; Jin T.; Cai G.; Cao H.; Cernava T.; Jin D.","Men, Jianan (58093849400); Liu, Huiying (56107133800); Jin, Tuo (57219255620); Cai, Guangxing (58093813200); Cao, Hongzhe (58862330900); Cernava, Tomislav (56289016300); Jin, Decai (35090094900)","58093849400; 56107133800; 57219255620; 58093813200; 58862330900; 56289016300; 35090094900","The color of biodegradable mulch films is associated with differences in peanut yield and bacterial communities","2024","Environmental Research","10.1016/j.envres.2024.118342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183998534&doi=10.1016%2fj.envres.2024.118342&partnerID=40&md5=a397bb5866d398515519fb4c0758c524","Hebei Key Laboratory of Plant Physiology and Molecular Pathology, Hebei Agricultural University, Baoding, 071000, China; Key Laboratory of Environmental Biotechnology, Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing, 100085, China; Liaoning Academy of Agricultural Sciences, Shenyang, 110161, China; Rural Energy and Environment Agency, Ministry of Agriculture and Rural Affairs, Beijing, 100125, China; Institute of Environmental Biotechnology, Graz University of Technology, Petersgasse 12, Graz, 8010, Austria; School of Biological Sciences, Faculty of Environmental and Life Sciences, University of Southampton, Southampton, SO17 1BJ, United Kingdom","Men J., Hebei Key Laboratory of Plant Physiology and Molecular Pathology, Hebei Agricultural University, Baoding, 071000, China, Key Laboratory of Environmental Biotechnology, Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing, 100085, China; Liu H., Liaoning Academy of Agricultural Sciences, Shenyang, 110161, China; Jin T., Rural Energy and Environment Agency, Ministry of Agriculture and Rural Affairs, Beijing, 100125, China; Cai G., Liaoning Academy of Agricultural Sciences, Shenyang, 110161, China; Cao H., Hebei Key Laboratory of Plant Physiology and Molecular Pathology, Hebei Agricultural University, Baoding, 071000, China; Cernava T., Institute of Environmental Biotechnology, Graz University of Technology, Petersgasse 12, Graz, 8010, Austria, School of Biological Sciences, Faculty of Environmental and Life Sciences, University of Southampton, Southampton, SO17 1BJ, United Kingdom; Jin D., Key Laboratory of Environmental Biotechnology, Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing, 100085, China","National Natural Science Foundation of China, NSFC, (41977122)","D. Jin; Key Laboratory of Environmental Biotechnology, Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing, 100085, China; email: dcjin@rcees.ac.cn","Academic Press Inc.","00139351","","ENVRA","Article","","Scopus","2-s2.0-85183998534"
"Dunn A.; Alvarez J.; Arbon A.; Bremner S.; Elsby-Pearson C.; Emsley R.; Jones C.; Lawrence P.; Lester K.J.; Morson N.; Perry N.; Simner J.; Thomson A.; Cartwright-Hatton S.","Dunn, Abby (57546197500); Alvarez, James (36611397000); Arbon, Amy (57205286044); Bremner, Stephen (7004114471); Elsby-Pearson, Chloe (57973797100); Emsley, Richard (58191590400); Jones, Christopher (55909757700); Lawrence, Peter (36988648500); Lester, Kathryn J. (16429683500); Morson, Natalie (57296034300); Perry, Nicky (58903365000); Simner, Julia (8290066300); Thomson, Abigail (57225199327); Cartwright-Hatton, Sam (6602228490)","57546197500; 36611397000; 57205286044; 7004114471; 57973797100; 58191590400; 55909757700; 36988648500; 16429683500; 57296034300; 58903365000; 8290066300; 57225199327; 6602228490","Investigating the effect of providing monetary incentives to participants on completion rates of referred co-respondents: An embedded randomized controlled trial","2024","Contemporary Clinical Trials Communications","10.1016/j.conctc.2024.101267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185838400&doi=10.1016%2fj.conctc.2024.101267&partnerID=40&md5=2991cff5e2a55671da66c355b29e3f3b","University of Sussex, Falmer, United Kingdom; University Hospitals Sussex NHS Foundation Trust, Brighton, United Kingdom; Brighton and Sussex Medical School, Brighton, United Kingdom; King's College London, London, United Kingdom; University of Southampton, Southampton, United Kingdom","Dunn A., University of Sussex, Falmer, United Kingdom; Alvarez J., University of Sussex, Falmer, United Kingdom; Arbon A., University Hospitals Sussex NHS Foundation Trust, Brighton, United Kingdom; Bremner S., Brighton and Sussex Medical School, Brighton, United Kingdom; Elsby-Pearson C., University of Sussex, Falmer, United Kingdom; Emsley R., King's College London, London, United Kingdom; Jones C., Brighton and Sussex Medical School, Brighton, United Kingdom; Lawrence P., University of Southampton, Southampton, United Kingdom; Lester K.J., University of Sussex, Falmer, United Kingdom; Morson N., University of Sussex, Falmer, United Kingdom; Perry N., Brighton and Sussex Medical School, Brighton, United Kingdom; Simner J., University of Sussex, Falmer, United Kingdom; Thomson A., University of Sussex, Falmer, United Kingdom; Cartwright-Hatton S., University of Sussex, Falmer, United Kingdom","C-REC; Kavlifondet, (38/19); National Institute for Health and Care Research, NIHR; University of Sussex","A. Dunn; University of Surrey, Guildford, GU2 7XH, United Kingdom; email: a.dunn@surrey.ac.uk","Elsevier Inc.","24518654","","","Article","All Open Access; Gold Open Access","Scopus","2-s2.0-85185838400"
"Walker N.C.; White S.M.; Ruiz S.A.; McKay Fletcher D.; Saponari M.; Roose T.","Walker, N.C. (57218377097); White, S.M. (8655648300); Ruiz, S.A. (56442126600); McKay Fletcher, D. (57200333734); Saponari, M. (10140167700); Roose, T. (6603116611)","57218377097; 8655648300; 56442126600; 57200333734; 10140167700; 6603116611","A mathematical model of biofilm growth and spread within plant xylem: Case study of Xylella fastidiosa in olive trees","2024","Journal of Theoretical Biology","10.1016/j.jtbi.2024.111737","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184035900&doi=10.1016%2fj.jtbi.2024.111737&partnerID=40&md5=8e8b0c562f31b264b4c78f58c422452e","Bioengineering Sciences Research Group, Department of Mechanical Engineering, School of Engineering, Faculty of Engineering and Physical Sciences, University of Southampton, SO17 1BJ, United Kingdom; UK Centre for Ecology & Hydrology, Maclean Building, Benson Lane, Crowmarsh Gifford, Oxfordshire, Wallingford, OX10 8BB, United Kingdom; Rural Economy Environment and Society Research Group, SRUC, Edinburgh, EH9 3JG, United Kingdom; Istituto per la Protezione Sostenibile delle Piante, CNR, Bari, Italy","Walker N.C., Bioengineering Sciences Research Group, Department of Mechanical Engineering, School of Engineering, Faculty of Engineering and Physical Sciences, University of Southampton, SO17 1BJ, United Kingdom; White S.M., UK Centre for Ecology & Hydrology, Maclean Building, Benson Lane, Crowmarsh Gifford, Oxfordshire, Wallingford, OX10 8BB, United Kingdom; Ruiz S.A., Bioengineering Sciences Research Group, Department of Mechanical Engineering, School of Engineering, Faculty of Engineering and Physical Sciences, University of Southampton, SO17 1BJ, United Kingdom; McKay Fletcher D., Bioengineering Sciences Research Group, Department of Mechanical Engineering, School of Engineering, Faculty of Engineering and Physical Sciences, University of Southampton, SO17 1BJ, United Kingdom, Rural Economy Environment and Society Research Group, SRUC, Edinburgh, EH9 3JG, United Kingdom; Saponari M., Istituto per la Protezione Sostenibile delle Piante, CNR, Bari, Italy; Roose T., Bioengineering Sciences Research Group, Department of Mechanical Engineering, School of Engineering, Faculty of Engineering and Physical Sciences, University of Southampton, SO17 1BJ, United Kingdom","Horizon 2020 Framework Programme, H2020; Rural and Environment Science and Analytical Services Division, RESAS, (635646, 727987–XF-ACTORS, SRUC-C5-1); Scottish Government, (BB/S016325/1); UK Research and Innovation, UKRI; Del Mar Foundation, DMF; Biotechnology and Biological Sciences Research Council, BBSRC, (BB/X010147/1); Natural Environment Research Council, NERC, (NE/S00720/1); Department for Environment, Food and Rural Affairs, UK Government, Defra; Royal Society, (URF\R1\231622); European Research Council, ERC, (646809); Horizon 2020, (727987, 734353)","T. Roose; Bioengineering Sciences Research Group, Department of Mechanical Engineering, School of Engineering, Faculty of Engineering and Physical Sciences, University of Southampton, Southampton, University Road, SO17 1BJ, United Kingdom; email: T.Roose@soton.ac.uk","Academic Press","00225193","","JTBIA","Article","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85184035900"
"Arcanjo B.; Ferrarini B.; Fasli M.; Milford M.; Mcdonald-Maier K.D.; Ehsan S.","Arcanjo, Bruno (57289892800); Ferrarini, Bruno (57077041000); Fasli, Maria (8933789200); Milford, Michael (23100108800); Mcdonald-Maier, Klaus D. (57208770234); Ehsan, Shoaib (35242509700)","57289892800; 57077041000; 8933789200; 23100108800; 57208770234; 35242509700","Aggregating Multiple Bio-Inspired Image Region Classifiers for Effective and Lightweight Visual Place Recognition","2024","IEEE Robotics and Automation Letters","10.1109/LRA.2024.3367275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186084779&doi=10.1109%2fLRA.2024.3367275&partnerID=40&md5=1c90eb089484f1c85eae0a5a3f3efde0","Queensland University of Technology, School of Electrical Engineering and Computer Science, Brisbane, 4000, QLD, Australia; University of Essex, School of Computer Science and Electronic Engineering, Colchester, CO4 3SQ, United Kingdom; University of Southampton, School of Electronics and Computer Science, Southampton, SO17 1BJ, United Kingdom","Arcanjo B., University of Essex, School of Computer Science and Electronic Engineering, Colchester, CO4 3SQ, United Kingdom; Ferrarini B., University of Essex, School of Computer Science and Electronic Engineering, Colchester, CO4 3SQ, United Kingdom; Fasli M., University of Essex, School of Computer Science and Electronic Engineering, Colchester, CO4 3SQ, United Kingdom; Milford M., Queensland University of Technology, School of Electrical Engineering and Computer Science, Brisbane, 4000, QLD, Australia; Mcdonald-Maier K.D., University of Essex, School of Computer Science and Electronic Engineering, Colchester, CO4 3SQ, United Kingdom; Ehsan S., University of Essex, School of Computer Science and Electronic Engineering, Colchester, CO4 3SQ, United Kingdom, University of Southampton, School of Electronics and Computer Science, Southampton, SO17 1BJ, United Kingdom","","B. Arcanjo; University of Essex, School of Computer Science and Electronic Engineering, Colchester, CO4 3SQ, United Kingdom; email: bq17319@essex.ac.uk","Institute of Electrical and Electronics Engineers Inc.","23773766","","","Article","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85186084779"
