(OG=(University of Southampton)) AND PY=(2018-2024) and Associated Data (Exclude) and Enriched Cited References (Exclude) and Open publisher-invited reviews (Exclude) and Biographical-Item or Book Review (Exclude â Document Types) and 2018-2024 (Publication Years)
Timespan: 2018-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Alternative sources of bioactive omega-3 fatty acids: what are the options?","Baker, Ella J.","","","","CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE","MAR 2024","2024","27","2","","","","106","115","","10.1097/MCO.0000000000001006","","","1","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Lipid droplets in steatotic liver disease","Bilson, Josh; Scorletti, Eleonora","","","","CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE","MAR 2024","2024","27","2","","","","91","97","","10.1097/MCO.0000000000000993","","","1","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"The 2022 Outburst of IGR J17091-3624: Connecting the Exotic GRS 1915+105 to Standard Black Hole X-Ray Binaries","Wang, Jingyi; Kara, Erin; Garcia, Javier A.; Altamirano, Diego; Belloni, Tomaso; Steiner, James F.; van der Klis, Michiel; Ingram, Adam; Mastroserio, Guglielmo; Connors, Riley; Lucchini, Matteo; Dauser, Thomas; Neilsen, Joseph; Lewin, Collin; Remillard, Ron A.; Homan, Jeroen","","","","ASTROPHYSICAL JOURNAL","MAR 1 2024","2024","963","1","","","","","","14","10.3847/1538-4357/ad1595","","","1","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Focal therapy for prostate cancer - when to refer?","Rokan, Nadia; Reddy, Deepika; Dudderidge, Tim","","","","BJU INTERNATIONAL","","2024","","","","","","","","","10.1111/bju.16315","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Systematic hierarchical analysis of requirements for critical systems","Fathabadi, Asieh Salehi; Snook, Colin; Dghaym, Dana; Hoang, Thai Son; Alotaibi, Fahad; Butler, Michael","","","","INNOVATIONS IN SYSTEMS AND SOFTWARE ENGINEERING","","2024","","","","","","","","","10.1007/s11334-024-00551-8","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David versus Goliath? Indigenous people, carbon majors and climate litigation in South Africa","du Toit, Louise; Soyapi, Caiphas; Kotze, Louis J.","","","","REVIEW OF EUROPEAN COMPARATIVE & INTERNATIONAL ENVIRONMENTAL LAW","","2024","","","","","","","","","10.1111/reel.12534","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Animal migration in the Anthropocene: threats and mitigation options","Cooke, Steven J.; Piczak, Morgan L.; Singh, Navinder J.; Akesson, Susanne; Ford, Adam T.; Chowdhury, Shawan; Mitchell, Greg W.; Norris, D. Ryan; Hardesty-Moore, Molly; Mccauley, Douglas; Hammerschlag, Neil; Tucker, Marlee A.; Horns, Joshua J.; Reisinger, Ryan R.; Kubelka, Vojtech; Lennox, Robert J.","","","","BIOLOGICAL REVIEWS","","2024","","","","","","","","","10.1111/brv.13066","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1 grammatical attrition in late Spanish-English bilinguals in the UK: aspectual interpretations of present tense in Spanish","Hicks, Glyn; Dominguez, Laura; Jamieson, E.; Schmid, Monika S.","","","","LANGUAGE LEARNING JOURNAL","MAR 3 2024","2024","52","2","","","SI","145","158","","10.1080/09571736.2023.2293024","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Causes of High Internal Pore Pressure in a Downward-Draining MSW Landfill","Beaven, Richard; White, Jim; Woodman, Nick; Rees-White, Tristan; Smethurst, Joel; Stringfellow, Anne; Powrie, William; Kanen, Twan","","","","JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING","MAR 1 2024","2024","150","3","","","","","","04023143","10.1061/JGGEFK.GTENG-11520","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Effects of salt concentration on top wall bubble injection in a turbulent channel flow: bubble dynamics and wall drag reduction","Biswas, Subhajit; Govardhan, Raghuraman N.","","","","EXPERIMENTS IN FLUIDS","MAR 2024","2024","65","3","","","","","","34","10.1007/s00348-024-03770-8","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
